Id,Tz,FirstName,LastName,PhoneNumber,Address,Email,Status,AccountId,JoiningDate
62,933848501,First62,Last62,+16504260995,"110 Main St, City62",customer62@example.com,Banned,19,2022-09-02
63,655436687,First63,Last63,+15067539321,"268 Main St, City63",customer63@example.com,Banned,51,2016-02-17
64,654026988,First64,Last64,+17152991578,"357 Main St, City64",customer64@example.com,Active,72,2018-02-21
65,362547265,First65,Last65,+19886899674,"521 Main St, City65",customer65@example.com,Active,66,2024-01-05
66,399755749,First66,Last66,+18842619984,"166 Main St, City66",customer66@example.com,Active,80,2018-01-21
67,634126740,First67,Last67,+14498306790,"409 Main St, City67",customer67@example.com,Inactive,77,2021-07-12
68,383030782,First68,Last68,+18527857353,"847 Main St, City68",customer68@example.com,Banned,60,2017-06-18
69,248374149,First69,Last69,+14136257929,"398 Main St, City69",customer69@example.com,Inactive,85,2016-04-28
70,877148604,First70,Last70,+19064476097,"905 Main St, City70",customer70@example.com,Inactive,89,2022-08-04
71,284070899,First71,Last71,+17065153208,"710 Main St, City71",customer71@example.com,Banned,59,2015-04-13
72,780879975,First72,Last72,+12612868944,"607 Main St, City72",customer72@example.com,Active,20,2019-06-21
73,965621769,First73,Last73,+18646652292,"904 Main St, City73",customer73@example.com,Inactive,9,2021-03-29
74,101405877,First74,Last74,+13426221394,"361 Main St, City74",customer74@example.com,Banned,24,2022-02-22
75,361965614,First75,Last75,+12098883892,"488 Main St, City75",customer75@example.com,Active,90,2017-07-08
76,598381110,First76,Last76,+13572424639,"694 Main St, City76",customer76@example.com,Active,58,2018-07-27
77,188115395,First77,Last77,+16804754280,"329 Main St, City77",customer77@example.com,Inactive,75,2021-03-29
78,739678325,First78,Last78,+12537738039,"210 Main St, City78",customer78@example.com,Banned,30,2024-09-03
79,174169441,First79,Last79,+16713032410,"258 Main St, City79",customer79@example.com,Active,35,2021-11-24
80,324702795,First80,Last80,+14513469687,"635 Main St, City80",customer80@example.com,Inactive,66,2017-05-04
81,698488128,First81,Last81,+18548013225,"542 Main St, City81",customer81@example.com,Active,98,2021-03-04
82,923523203,First82,Last82,+12200568226,"294 Main St, City82",customer82@example.com,Inactive,93,2015-01-15
83,353681081,First83,Last83,+14436596983,"515 Main St, City83",customer83@example.com,Banned,87,2017-10-08
84,431153461,First84,Last84,+13656659980,"403 Main St, City84",customer84@example.com,Inactive,67,2015-11-07
85,505715981,First85,Last85,+16172514251,"213 Main St, City85",customer85@example.com,Banned,6,2018-04-16
86,853042100,First86,Last86,+15585624468,"493 Main St, City86",customer86@example.com,Inactive,15,2015-01-19
87,487873541,First87,Last87,+19621877512,"785 Main St, City87",customer87@example.com,Banned,40,2017-04-11
88,185356082,First88,Last88,+14433057058,"393 Main St, City88",customer88@example.com,Banned,37,2022-11-06
89,762704355,First89,Last89,+12175031745,"952 Main St, City89",customer89@example.com,Active,42,2016-12-26
90,879758643,First90,Last90,+13360284147,"502 Main St, City90",customer90@example.com,Banned,42,2019-09-07
91,559713817,First91,Last91,+14356528663,"963 Main St, City91",customer91@example.com,Banned,54,2017-10-03
92,285038536,First92,Last92,+13812448886,"657 Main St, City92",customer92@example.com,Banned,42,2015-09-05
93,100169404,First93,Last93,+17493658262,"637 Main St, City93",customer93@example.com,Active,79,2017-07-14
94,105467071,First94,Last94,+15178656699,"743 Main St, City94",customer94@example.com,Inactive,90,2023-09-14
95,977678565,First95,Last95,+17209502474,"172 Main St, City95",customer95@example.com,Active,21,2022-09-16
96,525409294,First96,Last96,+12094339202,"262 Main St, City96",customer96@example.com,Active,72,2014-11-24
97,772125844,First97,Last97,+15082492933,"773 Main St, City97",customer97@example.com,Inactive,44,2022-11-03
98,716464380,First98,Last98,+18462413984,"572 Main St, City98",customer98@example.com,Inactive,62,2016-06-04
99,333166302,First99,Last99,+19688895066,"935 Main St, City99",customer99@example.com,Inactive,47,2018-01-03
100,509177540,First100,Last100,+16605207263,"498 Main St, City100",customer100@example.com,Banned,81,2015-05-19
